USAF,WBAN,STATION NA,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
386090,99999,ISFARA,TI,,,40.133000000000003,70.599999999999994,873.000000000000000,19480101,19970510
386150,99999,OSH,KG,,,40.533000000000001,72.799999999999997,875.000000000000000,19591102,20031003
386155,99999,OSH,KG,,UAFO,40.609000000000002,72.793000000000006,892.100000000000023,20070823,20180723
386180,99999,FERGANA AIRPORT,UZ,,UTFF,40.366999999999997,71.750000000000000,603.500000000000000,19480101,20180723
386230,99999,ARPA,KG,,,40.783000000000001,74.766999999999996,2865.000000000000000,19600101,19631223
386270,99999,GULCA,KG,,,40.317000000000000,73.549999999999997,1555.000000000000000,19591102,20120201
386280,99999,KOKMAGDAY,KG,,,40.250000000000000,74.000000000000000,,19600214,19631216
387440,99999,LAHSH,TI,,,39.283000000000001,71.867000000000004,1198.000000000000000,19730312,20180723
387450,99999,SARY-TAS,KG,,,39.732999999999997,73.266999999999996,3155.000000000000000,19591101,20010303
388530,99999,KHABURABAD,TI,,,38.649999999999999,70.716999999999999,3347.000000000000000,19730101,20050327
388560,99999,DARVAZ,TI,,,38.466999999999999,70.882999999999996,1288.000000000000000,19590901,20180723
388620,99999,FEDCENKO GLACIER,TI,,,38.917000000000002,72.167000000000002,4169.000000000000000,19370104,20050827
388670,99999,HUMRAGI,TI,,,38.283000000000001,71.332999999999998,1737.000000000000000,19730101,20130112
388690,99999,IHRT,TI,,,38.167000000000002,72.632999999999996,3276.000000000000000,19590101,20180723
388710,99999,KARAKUL LAKE,TI,,,39.082999999999998,73.417000000000002,3930.000000000000000,19591102,20020618
388750,99999,KARAKUL,TI,,,39.017000000000003,73.549999999999997,3940.000000000000000,19570722,20180723
388780,99999,MURGAB,TI,,,38.167000000000002,73.966999999999999,3576.000000000000000,19591118,20180723
388790,99999,OKSU,TI,,,38.067000000000000,74.466999999999999,3740.000000000000000,19770705,20020312
389510,99999,RUSHAN,TI,,,37.950000000000003,71.549999999999997,1981.000000000000000,20130112,20180723
389540,99999,KHOROG,TI,,,37.500000000000000,71.500000000000000,2077.000000000000000,19571011,20180723
389560,99999,BULUN-KUL,TI,,,37.700000000000003,72.950000000000003,3744.000000000000000,19591111,20130112
389570,99999,ISHKASHIM,TI,,,36.716999999999999,71.599999999999994,2523.000000000000000,19591108,20180723
389660,99999,SAJMAK,TI,,,37.533000000000001,74.832999999999998,3840.000000000000000,19601201,20180215
409000,99999,DARWAZ,AF,,OADZ,38.433000000000000,70.799999999999997,1320.000000000000000,19730304,20070905
409050,99999,SHIGHNAN,AF,,,37.567000000000000,71.500000000000000,2265.000000000000000,19730701,20090511
409180,99999,ISKACHEM / ESHKASHEM,AF,,OAEM,36.700000000000003,71.566999999999993,2620.000000000000000,20021121,20170316
409200,99999,ZEBAK,AF,,OAZB,36.500000000000000,71.250000000000000,2600.000000000000000,19580101,20021220
415040,99999,GUPIS,PK,,,36.167000000000002,73.400000000000006,2156.000000000000000,20051001,20180129
415050,99999,HUNZA,PK,,,36.317000000000000,74.650000000000006,2374.000000000000000,20081029,20180129
415060,99999,CHITRAL,PK,,,35.850000000000001,71.832999999999998,1500.000000000000000,19730101,20140207
415070,99999,MET OBSERVATORY TIMERGARA / DIR LOWER,PK,,,34.832999999999998,71.816999999999993,786.000000000000000,20081029,20180129
415080,99999,DIR,PK,,,35.200000000000003,71.849999999999994,1370.000000000000000,19800309,20180723
415090,99999,MIR KHANI,PK,,,35.500000000000000,71.700000000000003,1250.000000000000000,20061003,20180129
415100,99999,KALAM,PK,,,35.832999999999998,72.983000000000004,2123.000000000000000,20050727,20180129
415150,99999,DROSH,PK,,,35.567000000000000,71.783000000000001,1465.000000000000000,19440101,20180723
415160,99999,GILGIT,PK,,OPGT,35.918999999999997,74.334000000000003,1457.200000000000045,19440101,20180129
415170,99999,SKARDU,PK,,OPSD,35.335999999999999,75.536000000000001,2316.500000000000000,19440101,20180129
415180,99999,BUNJI,PK,,,35.667000000000002,74.632999999999996,1470.000000000000000,20040806,20180129
415190,99999,CHILLAS,PK,,,35.417000000000002,74.099999999999994,1251.000000000000000,20050728,20180129
415200,99999,ASTORE,PK,,,35.366999999999997,74.900000000000006,2168.000000000000000,20050727,20180129
415205,99999,CHITRAL,PK,,,35.883000000000003,71.799999999999997,1494.000000000000000,20050727,20180723
415225,99999,MUZAFFARABAD,PK,,,34.332999999999998,73.516999999999996,831.000000000000000,20050727,20171015
415230,99999,SAIDU SHARIF,PK,,,34.732999999999997,72.349999999999994,951.000000000000000,19740730,20140206
415235,99999,SAIDU SHARIF,PK,,,34.817000000000000,72.349999999999994,970.000000000000000,20050809,20180723
415240,99999,PATTAN,PK,,,35.100000000000001,73.000000000000000,752.000000000000000,20081029,20180129
415245,99999,RAIFIQUI (PAFB),PK,,,30.766999999999999,72.283000000000001,151.000000000000000,20050727,20051010
415250,99999,MALAM JABBA,PK,,,34.750000000000000,72.900000000000006,2652.000000000000000,20070116,20180129
415260,99999,BABUSAR,PK,,,35.216999999999999,74.099999999999994,2854.000000000000000,20151007,20151007
415290,99999,PESHAWAR,PK,,,34.033000000000001,71.933000000000007,329.000000000000000,20110104,20150312
415300,99999,PESHAWAR,PK,,,34.017000000000003,71.582999999999998,360.000000000000000,19440101,20180723
415310,99999,BATTAL,PK,,,34.582999999999998,73.150000000000006,1676.000000000000000,19730815,20030111
415320,99999,MUZAFFAR ABAD,PK,,,34.366999999999997,73.483000000000004,2303.000000000000000,19730103,20131015
415330,99999,RISALPUR,PK,,OPRS,34.081000000000003,71.972999999999999,320.000000000000000,19730101,20171015
415350,99999,KAKUL,PK,,,34.183000000000000,73.250000000000000,1309.000000000000000,19730101,20180723
415360,99999,BALAKOT,PK,,,34.383000000000003,73.349999999999994,981.000000000000000,19980301,20180723
415650,99999,CHERAT,PK,,,33.817000000000000,71.882999999999996,1372.000000000000000,19440101,20180129
415690,99999,CAMPBELLPUR,PK,,,33.767000000000003,72.367000000000004,357.000000000000000,19730103,19730619
415710,99999,CHAKLALA,PK,,OPRN,33.616999999999997,73.099000000000004,508.399999999999977,19440101,20180723
415720,99999,HARIPUR,PK,,,33.982999999999997,72.917000000000002,535.000000000000000,19730107,19781008
415730,99999,MURREE,PK,,,33.917000000000002,73.382999999999996,2127.000000000000000,19440101,20180723
415740,99999,RAWALAKOT*,PK,,,33.850000000000001,73.799999999999997,1677.000000000000000,20060711,20131014
415760,99999,MANGLA*,PK,,,33.067000000000000,73.632999999999996,283.000000000000000,20070720,20131014
415770,99999,ISLAMABAD CITY,PK,,,33.716999999999999,73.099999999999994,525.000000000000000,20050727,20180506
415900,99999,KHUSHAB,PK,,,32.299999999999997,72.349999999999994,186.000000000000000,19570101,20020522
415901,99999,KHUSHAB,PK,,,32.299999999999997,72.349999999999994,188.000000000000000,19540101,19561231
415930,99999,SARGODHA,PK,,,32.049999999999997,72.667000000000002,187.000000000000000,20040812,20161227
415940,99999,SARGODHA,PK,,OPSR,32.049999999999997,72.667000000000002,188.000000000000000,19730101,20180723
415970,99999,MANDI BAHAUDDIN,PK,,,32.582999999999998,73.500000000000000,253.000000000000000,20050727,20180129
415980,99999,JHELUM,PK,,,32.933000000000000,73.716999999999999,234.000000000000000,19730101,20180723
415990,99999,SIALKOT,PK,,OPST,32.500000000000000,74.533000000000001,255.000000000000000,20130101,20180723
416000,99999,SIALKOT,PK,,OPST,32.500000000000000,74.533000000000001,256.000000000000000,19440101,20180723
416300,99999,FAISALABAD,PK,,,31.433000000000000,73.099999999999994,184.000000000000000,19730101,20180723
416360,99999,JHANG,PK,,,31.266999999999999,72.316999999999993,153.000000000000000,20050803,20180129
416380,99999,TOBA TEK SINGH,PK,,,30.983000000000001,72.466999999999999,156.000000000000000,20081029,20180129
416400,99999,LAHORE CITY,PK,,OPLH,31.550000000000001,74.332999999999998,215.000000000000000,19440101,20180723
416410,99999,ALLAMA IQBAL INTL,PK,,OPLA,31.521999999999998,74.403999999999996,217.000000000000000,19761201,20180723
416460,99999,OKARA,PK,,,30.800000000000001,73.433000000000007,180.000000000000000,20081029,20131014
416720,99999,RAFIQUI,PK,,,30.783000000000001,72.200000000000003,150.000000000000000,19750905,20180129
416780,99999,BAHAWALNAGAR,PK,,,29.949999999999999,73.250000000000000,163.000000000000000,19730101,20180723
416801,99999,MONTGOMERY,PK,,,30.667000000000002,73.099999999999994,170.000000000000000,19440101,19481231
418500,99999,TETULIA  PANCHAGOR,BG,,,26.350000000000001,88.599999999999994,55.000000000000000,20160217,20180723
418520,99999,THAKURGAON,BG,,,26.016999999999999,88.400000000000006,-999.899999999999977,19730107,20050221
418580,99999,SAIDPUR,BG,,,25.750000000000000,88.917000000000002,39.000000000000000,19440101,20180723
418590,99999,RANGPUR,BG,,,25.733000000000001,89.233000000000004,34.000000000000000,19811213,20180723
418621,99999,RAJARHAT KURIGRAM,BG,,,25.800000000000001,89.549999999999997,31.000000000000000,19430709,20180723
418630,99999,DINAJPUR,BG,,,25.649999999999999,88.683000000000007,37.000000000000000,19440101,20180723
420260,99999,GULMARG,IN,,,34.049999999999997,74.400000000000006,2655.000000000000000,19440601,20180723
420270,99999,SRINAGAR,IN,,,34.082999999999998,74.832999999999998,1587.000000000000000,19440101,20180723
420290,99999,SONAMARG,IN,,,34.317000000000000,75.316999999999993,2515.000000000000000,19440101,20180527
420300,99999,DRAS,IN,,,34.433000000000000,75.766999999999996,3066.000000000000000,19440101,20070426
420341,99999,LEH,IN,,,34.149999999999999,77.566999999999993,3514.000000000000000,19440101,19561231
420420,99999,SRINAGAR,IN,,,33.982999999999997,74.783000000000001,1664.000000000000000,19881026,20050619
